Referee ,games,cards,avg cards per game 
A Madley,2,17,8.5
A Marriner,27,251,9.296296296
A Taylor,32,332,10.375
C Kavanagh,24,228,9.5
C Pawson,26,284,10.92307692
D Coote,11,106,9.636363636
G Scott,17,201,11.82352941
J Moss,27,291,10.77777778
K Friend,27,246,9.111111111
L Mason,19,200,10.52631579
L Probert,18,214,11.88888889
M Atkinson,29,286,9.862068966
M Dean,29,278,9.586206897
M Oliver,30,313,10.43333333
P Tierney,24,239,9.958333333
R East,10,110,11
S Attwell,20,226,11.3
S Hooper,8,76,9.5
